남영,서울역,2,1,4.7,1호선
서울역,시청,3,2,4.9,1호선
시청,종각,2,1,3.8,1호선
종각,종로3가,1,1,4.7,1호선
종로3가,종로5가,5,2,4.9,1호선
종로5가,동대문,2,1,5,1호선
동대문,동묘앞,2,2,5,1호선
동묘앞,신설동,2,2,4.8,1호선
신설동,제기동,1,2,4.9,1호선
제기동,회기,2,1,4.7,1호선
회기,제기동,3,1,4.1,1호선
제기동,신설동,2,1,4.2,1호선
신설동,동묘앞,2,1,4.3,1호선
동묘앞,동대문,5,3,4.6,1호선
동대문,종로5가,2,1,4.8,1호선
종로5가,종로3가,1,2,4.7,1호선
종로3가,종각,4,2,4.9,1호선
종각,시청,4,1,3.9,1호선
시청,서울역,3,3,3.7,1호선
서울역,남영,2,2,3.8,1호선
홍대입구,신촌,5,1,2.5,2호선
신촌,이대,3,2,4.9,2호선
이대,아현,2,1,4.7,2호선
아현,충정로,5,2,4.9,2호선
충정로,시청,4,1,3.8,2호선
시청,을지로입구,3,1,4.7,2호선
을지로입구,을지로3가,5,2,4.9,2호선
을지로3가,을지로4가,6,1,5,2호선
을지로4가,동대문역사문화공원,2,2,5,2호선
동대문역사문화공원,신당,4,2,4.8,2호선
신당,상왕십리,3,2,4.9,2호선
상왕십리,왕십리,1,1,4.7,2호선
왕십리,한양대,2,1,4.1,2호선
한양대,뚝섬,2,1,4.2,2호선
뚝섬,성수,4,1,4.3,2호선
성수,뚝섬,2,3,4.6,2호선
뚝섬,한양대,2,1,4.7,2호선
한양대,왕십리,5,2,4.9,2호선
왕십리,상왕십리,6,1,3.8,2호선
상왕십리,신당,3,1,4.7,2호선
신당,동대문역사문화공원,4,2,4.9,2호선
동대문역사문화공원,을지로4가,3,1,5,2호선
을지로4가,을지로3가,5,2,5,2호선
을지로3가,을지로입구,4,2,4.8,2호선
을지로입구,시청,4,2,4.9,2호선
시청,충정로,2,1,4.7,2호선
충정로,아현,4,1,4.1,2호선
아현,이대,3,1,4.2,2호선
이대,신촌,2,1,4.3,2호선
신촌,홍대입구,2,3,4.6,2호선
독립문,경복궁,2,1,4.8,3호선
경복궁,안국,2,2,4.7,3호선
안국,종로3가,2,2,4.9,3호선
종로3가,을지로3가,4,1,3.9,3호선
을지로3가,충무로,1,3,3.7,3호선
충무로,동대입구,6,2,3.8,3호선
동대입구,약수,3,1,2.5,3호선
약수,동대입구,2,2,4.9,3호선
동대입구,충무로,3,1,4.4,3호선
충무로,을지로3가,5,3,4.5,3호선
을지로3가,종로3가,5,3,4.2,3호선
종로3가,안국,6,1,4.7,3호선
안국,경복궁,4,2,4.9,3호선
경복궁,독립문,7,1,3.8,3호선
서울역,회현,4,1,4.7,4호선
회현,명동,4,2,4.9,4호선
명동,충무로,5,1,5,4호선
충무로,동대문역사문화공원,2,2,5,4호선
동대문역사문화공원,동대문,3,2,4.8,4호선
동대문,혜화,4,2,4.9,4호선
혜화,동대문,4,1,4.7,4호선
동대문,동대문역사문화공원,2,1,4.1,4호선
동대문역사문화공원,충무로,2,1,4.2,4호선
충무로,명동,3,1,4.3,4호선
명동,회현,4,3,4.6,4호선
회현,서울역,3,1,4.8,4호선
